geography,indicator,hypothesis,phase,article value,P5,P50,P95,P5 vs article (%),P95 vs article (%)
World,Net operating surplus (M EUR),A1,Phase 1,172.48743888753526,142.10728457512485,158.0945254002012,180.9762721588139,-17.612966201103365,4.921421134215764
World,Net operating surplus (M EUR),A1,Phase 2,230.6668701728032,212.27261124296004,233.60039505128367,246.00386102117773,-7.9743826740542145,6.6489786057637446
World,Net operating surplus (M EUR),A1,Phase 3,729.9159115450935,664.5004226020936,735.7927006256955,780.4369186546128,-8.962058219080015,6.921483188738264
World,Net operating surplus (M EUR),A1,All phases,1133.070220605432,1029.5870189354166,1125.9881903546889,1199.1170571952382,-9.13299103516474,5.829015306263674
World,Net operating surplus (M EUR),A2,Phase 1,172.5646966200476,142.3768079187963,158.6533978836765,181.3116186382368,-17.493664285064593,5.068778370959692
World,Net operating surplus (M EUR),A2,Phase 2,192.23239395152692,187.4473146739059,198.35378168174478,208.54562452604526,-2.4892158804554088,8.486202683732834
World,Net operating surplus (M EUR),A2,Phase 3,729.9159115450935,664.5004226020936,735.7927006256955,780.4369186546128,-8.962058219080015,6.921483188738264
World,Net operating surplus (M EUR),A2,All phases,1094.7130021166681,1005.1833732004247,1091.410108257982,1162.552255488005,-8.178365356320294,6.196989826572552
World,Net operating surplus (M EUR),A3,Phase 1,172.5646966200476,142.3768079187963,158.6533978836765,181.3116186382368,-17.493664285064593,5.068778370959692
World,Net operating surplus (M EUR),A3,Phase 2,205.04388602528567,195.7744993438717,209.67539349370185,220.90714208573092,-4.520684259891016,7.736517468503812
World,Net operating surplus (M EUR),A3,Phase 3,729.9159115450935,664.5004226020936,735.7927006256955,780.4369186546128,-8.962058219080015,6.921483188738264
World,Net operating surplus (M EUR),A3,All phases,1107.5244941904268,1013.4324291499689,1103.2075326132745,1174.9396900534687,-8.495709623942616,6.08701624358392
World,Net operating surplus (M EUR),B1,Phase 1,152.63777747626162,142.7401339356771,154.95724903937443,164.72328537467342,-6.484399671060337,7.917769832760668
World,Net operating surplus (M EUR),B1,Phase 2,249.91477211027808,232.4929775632475,255.98289877509205,277.01287362656046,-6.971094345452689,10.842937089098914
World,Net operating surplus (M EUR),B1,Phase 3,764.8564449068754,707.7576613487545,783.5113710964836,851.2335457927002,-7.465294165766345,11.293243517918139
World,Net operating surplus (M EUR),B1,All phases,1167.408994493415,1083.1635930687883,1194.4841976342573,1292.6671860720985,-7.216442722473992,10.72958938722568
World,Net operating surplus (M EUR),B2,Phase 1,156.98576855535444,135.04656340346185,150.56755680476255,165.2222648514872,-13.97528282581657,5.246651573533256
World,Net operating surplus (M EUR),B2,Phase 2,240.03695914854669,224.2627599425352,246.5738986677591,262.49547198843635,-6.571571003884291,9.356272850461856
World,Net operating surplus (M EUR),B2,Phase 3,765.2674914826005,701.8516955257145,774.2962265265994,827.5506289794587,-8.286748968524272,8.138740791954092
World,Net operating surplus (M EUR),B2,All phases,1162.2902191865016,1065.9884937768338,1173.4437600708197,1250.789692297496,-8.285514565980801,7.614231940533411
World,Net operating surplus (M EUR),B3,Phase 1,153.47793043128092,134.01571803281735,150.27077027564997,165.9480070184967,-12.680788921100095,8.124996572584875
