GLORIA sector,name,NOS global (thousand EUR),NOS Denmark (thousand EUR),T&S global (thousand EUR),T&S Denmark (thousand EUR),jobs global,jobs Denmark,GHG global (kt CO2e),GHG first tier (kt CO2e)
63,Refined petroleum products,604.1678014697474,5.260264626633454,34.95710061104542,9.853186044839623,10.759999765078144,3.007771985534221,0.5448638201644708,0.17432055826715626
67,Basic inorganic chemicals,341.86298604261674,289.2927684986256,27.6221359717782,18.63018663613707,9.910913081120853,4.0563279389074625,0.25810366840632215,0.07064380419421261
85,Fabricated metal products,136.69763381323494,24.206442212378224,33.07947312574022,13.187312216541866,18.15985648416341,6.038928630097975,0.44291304690918226,0.10482463261513997
86,Machinery and equipment,146.69446728609594,26.761765305234555,32.657510356537145,12.312675173085378,16.746186475874072,5.057993527732752,0.2951498242484837,0.04854462971877225
88,Other transport equipment,84.76846051880287,11.949469420330157,21.42065171585927,8.787945853217133,11.24531172776364,3.667007318055778,0.20634313386544384,0.03643253400570289
89,Repair and installation of machinery and equipment,145.81836065008196,88.91670315157556,45.043148692054686,35.27608754996601,12.119450351157653,6.359248117776869,0.16194991752908983,0.028830798548752874
93,"Electric power generation, transmission and distribution",109.29562283279161,30.707048698790715,122.86827868855633,106.3942302770942,19.20117673482951,9.701080057403765,5.141997163531989,1.2209078582713733
94,Distribution of gaseous fuels through mains,83.51929246592724,17.358983178224335,11.335671706194729,5.558381508732349,5.999052886511357,1.880565581523589,0.6354138818982813,0.1162046828581945
99,Civil engineering construction,103.33541508343379,36.96226177459131,23.469997855450064,12.495674072842395,15.40141070338215,8.531290251920005,0.2266986072769972,0.04902524170121742
103,Transport via pipeline,219.9492669835041,63.50092529814988,57.36556342122133,29.037493901934397,17.22000136008855,2.788691600270362,0.33127289489826994,0.07015069344218403
104,Water transport,262.6572397788309,34.67320439846235,57.23695108667072,17.30484006114373,20.428295320469562,1.644137778023512,0.43642712228888564,0.09744730146479817
106,Services to transport,188.05355446103493,144.2560184971495,17.375114966371317,10.122168013398271,8.199097171510509,3.8575380015855476,0.09389397156310234,0.021224491678924276
114,"Professional, scientific and technical services",129.9092735403824,83.80364723499272,17.532995259793587,10.907064044293072,11.221507648482863,6.864714137498947,0.07377935645320124,0.013049188529628684
